number,area,perimeter,minellipse,majellipse,cumulativeAverage
1,2316,228,37.6706,78.4315,2316.0
2,2247,238,37.6757,76.1166,2281.5
3,2095,224,37.0857,72.2565,2219.333333
4,2349,238,39.5139,75.8732,2251.75
5,1967,222,36.0762,69.552,2194.8
6,2169,226,36.2317,76.3925,2190.5
7,2594,249,40.6375,81.3889,2248.142857
8,2367,230,38.0549,79.3099,2263.0
9,1605,192,31.8432,64.3038,2189.888889
10,3310,262,47.3298,89.2836,2301.9
11,2741,252,41.519,84.241,2341.818182
12,2337,238,37.9377,78.5648,2341.416667
13,1844,206,34.3535,68.5753,2303.153846
14,2862,248,43.2195,84.456,2343.071429
15,2299,226,37.4335,78.312,2340.133333
16,1668,222,27.128,78.7138,2298.125
17,1977,206,35.2044,71.7062,2279.235294
18,2066,226,34.7911,75.7179,2267.388889
19,2527,246,39.5711,81.6839,2281.052632
20,2121,233,34.8012,77.8045,2273.05
21,2390,244,38.2763,79.7402,2278.619048
22,1878,214,32.9279,72.747,2260.409091
23,2219,226,37.2091,76.0525,2258.608696
24,2119,227,36.2507,74.545,2252.791667
25,2163,240,35.8004,77.0973,2249.2
26,2010,232,35.3764,72.7371,2240.0
27,2012,224,34.6894,74.0773,2231.555556
28,1597,215,27.7267,73.4464,2208.892857
29,1956,222,33.418,74.7172,2200.172414
30,2075,226,36.2828,72.9931,2196.0
31,2103,238,35.6544,75.2151,2193.0
32,1643,207,31.1056,67.4125,2175.8125
33,1792,210,29.9511,76.5286,2164.181818
34,1524,221,26.2861,73.9839,2145.352941
35,2343,236,38.2503,78.201,2151.0
36,2369,248,37.7859,80.0038,2157.055556
37,2222,240,35.4618,79.9129,2158.810811
38,1999,231,34.1783,74.9652,2154.605263
39,2211,227,38.8925,72.5696,2156.051282
40,2426,234,38.5295,80.3261,2162.8
41,1675,216,30.648,70.3304,2150.902439
42,1608,194,29.233,70.2871,2137.97619
43,2556,236,41.1616,79.2356,2147.697674
44,2641,239,41.2547,81.7124,2158.909091
45,2840,256,42.7373,84.7455,2174.044444
46,2356,239,39.0598,76.9098,2178.0
47,2332,228,38.1404,77.9454,2181.276596
48,1777,214,29.8689,75.9742,2172.854167
49,2093,226,35.7499,74.8249,2171.22449
50,2227,238,35.9206,79.0709,2172.34
51,2008,224,33.7024,76.0096,2169.117647
52,1866,207,32.6433,73.1178,2163.288462
53,2386,238,38.1547,79.7211,2167.490566
54,1999,208,36.9801,68.938,2164.37037
55,2043,212,35.8691,72.7036,2162.163636
56,2420,230,40.1785,76.8454,2166.767857
57,1916,212,34.4716,70.9149,2162.368421
58,2318,224,38.7294,76.5139,2165.051724
59,1939,210,34.6895,71.3263,2161.220339
60,2060,218,34.2692,76.6535,2159.533333
61,2117,223,36.2991,74.4242,2158.836066
62,1313,202,23.3655,71.9016,2145.193548
63,2187,242,35.6474,78.2604,2145.857143
64,2509,233,39.1967,81.6254,2151.53125
65,2234,230,36.5511,78.0408,2152.8
66,2160,224,36.8549,74.812,2152.909091
67,2252,244,36.8031,78.0799,2154.38806
68,2313,242,38.3869,76.8579,2156.720588
69,2805,248,42.9814,83.1969,2166.115942
70,1909,226,32.8331,74.12,2162.442857
71,2203,246,39.8504,70.9531,2163.014085
72,2251,236,37.5616,76.4372,2164.236111
73,2467,252,38.9417,80.7891,2168.383562
74,2304,233,39.0317,75.4953,2170.216216
75,2403,247,39.2664,78.0435,2173.32
76,2087,222,35.3423,75.3946,2172.184211
77,2538,244,38.3237,84.4269,2176.935065
78,1398,200,24.7977,71.9462,2166.948718
79,2290,236,39.0273,74.8711,2168.506329
80,2394,241,38.1276,80.1237,2171.325
81,2261,226,38.8998,74.4745,2172.432099
82,1715,233,28.0463,78.1728,2166.853659
83,1882,226,32.5976,73.7836,2163.421687
84,1761,231,29.3217,76.6516,2158.630952
85,2425,236,39.1578,78.9594,2161.764706
86,2407,236,38.7468,79.2599,2164.616279
87,1537,224,25.4686,77.0963,2157.402299
88,2165,238,36.4458,75.9088,2157.488636
89,1849,208,33.2226,71.0704,2154.022472
90,1982,226,32.5849,77.6092,2152.111111
91,2002,222,36.9891,69.5006,2150.461538
92,2220,226,40.2213,70.3848,2151.217391
93,2134,226,37.1679,73.4457,2151.032258
94,2313,246,37.3461,79.2933,2152.755319
95,2343,236,37.4802,79.7504,2154.757895
96,2179,242,36.2458,76.7111,2155.010417
97,2125,214,37.9799,71.361,2154.701031
98,2475,244,40.1813,78.6801,2157.969388
99,1926,238,30.3924,80.8394,2155.626263
100,2499,257,38.2946,83.2134,2159.06
101,2249,234,38.3852,75.1062,2159.950495
102,2137,232,36.559,74.6231,2159.72549
103,2346,249,38.2142,78.9699,2161.533981
104,2026,232,34.7191,74.429,2160.230769
105,2592,254,39.3572,83.9596,2164.342857
106,1799,228,30.0855,77.0052,2160.896226
107,1960,228,32.2875,77.4073,2159.018692
108,1368,208,24.682,70.8601,2151.694444
109,1785,206,34.1463,66.8243,2148.330275
110,2476,249,38.9448,81.5082,2151.309091
111,2447,248,39.3584,79.3155,2153.972973
112,2248,240,37.4699,76.778,2154.8125
113,2322,242,38.8676,76.2102,2156.292035
114,2043,228,35.6044,73.1714,2155.298246
115,2212,240,35.8433,78.6837,2155.791304
116,2555,244,41.2445,79.0697,2159.232759
117,1997,226,34.5133,73.7865,2157.846154
118,2395,246,38.9052,78.5219,2159.855932
119,2070,218,36.2779,72.7284,2159.10084
120,2222,224,40.5059,70.1012,2159.625
121,2223,240,36.1812,78.3598,2160.14876
122,1592,214,28.2659,71.8267,2155.491803
123,2332,232,37.3636,79.6631,2156.926829
124,2262,242,37.0368,77.8976,2157.774194
125,2167,232,36.6795,75.3965,2157.848
126,1756,208,29.0216,77.3016,2154.65873
127,2204,228,37.6294,74.7876,2155.047244
128,2199,236,36.2758,77.3658,2155.390625
129,1948,218,35.2299,70.5802,2153.782946
130,1765,206,31.7651,70.8378,2150.792308
131,2443,244,40.1411,77.5906,2153.022901
132,2044,226,34.4729,75.8347,2152.19697
133,2371,248,37.041,81.6237,2153.842105
134,2333,234,37.3893,79.6118,2155.179104
135,2142,230,36.2364,75.3793,2155.081481
136,2181,226,37.7986,73.639,2155.272059
137,2016,220,36.6538,70.1371,2154.255474
138,2254,232,37.7466,76.2226,2154.978261
139,1889,218,32.0628,75.2053,2153.064748
140,2284,240,37.9101,76.8574,2154.0
141,2229,236,37.5851,75.6057,2154.531915
